Companies,URL,Description,Industry,Latest Funding Round,Latest Funding Date,Total Funding,All Investors,Latest Valuation,Latest Funding Amount,Exit Round,Exit Date,Acquirers,Mosaic (Overall),Date Added,Country,Applications,Text,Speech & audio,Code,Visual media
Arize,arize.com,"Arize specializes in artificial intelligence observability and large language model (LLM) evaluation within the machine learning infrastructure domain. The company offers a platform for monitoring, troubleshooting, and evaluating machine learning models, including natural language processing (NLP), computer vision, and recommender systems, without requiring technical expertise. Its platform is primarily utilized by industries such as financial services, electronic commerce, media & entertainment, autonomous vehicles, manufacturing, and biotechnology & pharmaceutical research. The company was founded in 2020 and is based in Lafayette, California.",Generative AI infrastructure,Incubator/Accelerator,2024/04/19,61,"Brett Wilson, Foundation Capital, Trinity Ventures, Battery Ventures, Swift Ventures, The House Fund, Technology Crossover Ventures, Google Cloud Next",133.79,,,,,840,2024/01/25,United States,LLMOps,,,x,
TruEra,truera.com,"TruEra specializes in AI Quality solutions, focusing on the analysis and improvement of machine learning models within various industries. The company offers a suite of tools that provide insights into AI and ML technologies, aiming to enhance model quality, ensure explainability, and build trust. TruEra's products are designed to address challenges such as model drift, bias, and lack of transparency, and are used across sectors like banking, insurance, manufacturing, and more. TruEra was formerly known as AILens. It was founded in 2019 and is based in Redwood City, California. In May 2024, TruEra was acquired by Snowflake.",Generative AI infrastructure,Biz Plan Competition,2023/05/24,42.28,"Plug and Play Fintech Accelerator, Plug and Play Insurtech, Aaref Hilaly, Conversion Capital, Greylock Partners, Wing Venture Capital, B Capital, Harpoon Ventures, Zero Prime Ventures, ForgePoint Capital, Menlo Ventures, Hewlett Packard Pathfinder, Intel Disruptor Initiative, Plug and Play Alberta, Zurich Innovation Championship, Snowflake",80.86,,Acquired,2024/05/22,Snowflake,,2024/01/25,United States,LLMOps,,,,
Robust Intelligence,robustintelligence.com,"Robust Intelligence provides cyber security solutions. It helps organizations mitigate risk and ensure the reliability of their artificial intelligence (AI) systems. It offers solutions for technology companies, financial institutions, government agencies, and more. It was founded in 2019 and is based in San Francisco, California.",Generative AI infrastructure,Series B,2021/12/09,44,"Engineering Capital, Harpoon Ventures, Sequoia Capital, Tiger Global Management",202.66,30,,,,650,2024/01/25,United States,LLMOps,,,,
Aporia,aporia.com,"Aporia operates as a company focusing on machine learning (ML) observability within the technology sector. The company offers a platform that allows users to monitor and visualize the performance of their ML models, ensuring they are always operating at their best. Its service is primarily used by data science and ML teams across various sectors of the economy. It was founded in 2019 and is based in San Jose, California.",Generative AI infrastructure,Series A,2022/02/23,30,"ICON, Gili Ra’anan, Michael Shaulov, Nadir Izrael, TLV Partners, Vertex Ventures Israel, Yevgeny Dibrov, Samsung NEXT, Tiger Global Management",,25,,,,650,2024/01/25,United States,LLMOps,,,,
Evidently AI,evidentlyai.com,"Evidently AI specializes in machine learning monitoring and observability in the technology sector. The company offers open-source tools that allow users to evaluate, test, and monitor machine learning models, providing insights into data quality, data drift, and model performance. These services primarily cater to the needs of data scientists and machine learning engineers. It was founded in 2020 and is based in San Francisco, California.",Generative AI infrastructure,Seed VC - II,2022/01/01,0.13,"Davidovs Venture Collective, Flashpoint Venture Capital, Fly Ventures, Runa Capital, Y Combinator",,,,,,270,2024/01/25,United States,LLMOps,,,,
Censius,censius.ai,"Censius is a company focused on AI observability, operating within the artificial intelligence and machine learning industry. The company offers a platform that provides automated monitoring, analysis, and explanation of AI models, enabling businesses to optimize their AI performance and reliability. Its services primarily cater to the needs of machine learning engineers, data scientists, and business stakeholders. It was founded in 2020 and is based in Austin, Texas.",Generative AI infrastructure,,,,,,,,,,430,2024/01/25,United States,LLMOps,,,,
OctoML,octoml.ai,"OctoML focuses on providing artificial intelligence compute services in the technology sector. The company offers a platform, OctoAI, that enables developers to run, tune, and scale models that power AI applications, including image and text generation. Its services primarily cater to the AI application development industry. The company was founded in 2019 and is based in Seattle, Washington.",Generative AI infrastructure,Incubator/Accelerator,2024/04/19,131.9,"Amplify Partners, Madrona Venture Group, Addition, Tiger Global Management, Google Cloud Next",719.24,,,,,720,2024/01/25,United States,LLMOps,x,,,x
Modzy,modzy.com,"Modzy is a company that focuses on providing a production platform for machine learning, operating within the technology and artificial intelligence industry. The company offers services that allow for the deployment, connection, and operation of machine learning models in various environments, with a focus on enterprise and edge computing. These services are primarily targeted towards sectors such as manufacturing, telecom, energy and utilities, and the public sector. Modzy was formerly known as Yzdom, Inc.. It was founded in 2019 and is based in Vienna, Virginia.",Generative AI infrastructure,Seed,2021/12/13,5,Booz Allen Hamilton,18.65,5,Spinoff / Spinout,2021/12/09,Booz Allen Hamilton,490,2024/01/25,United States,LLMOps,,,,
Credo AI,credo.ai,"Credo AI is a leader in Responsible AI Governance within the artificial intelligence sector. The company offers a platform that automates AI oversight, risk management, and regulatory compliance to facilitate responsible AI adoption. Credo AI's services include AI auditing to ensure system integrity and fairness, as well as educational workshops to empower teams in AI governance practices. It was founded in 2020 and is based in Palo Alto, California.",Generative AI infrastructure,Series A - II,2023/05/03,18.3,"AI Fund, Decibel Partners, Village Global, Sands Capital, Booz Allen Ventures",53.97,,,,,500,2024/01/25,United States,LLMOps,,,,
MAIHEM,maihem.ai,"MAIHEM specializes in artificial intelligence (AI) quality assurance and safety analytics. The company provides tools for automated testing and continuous improvement of conversational AI applications, ensuring their performance and safety from development to deployment. MAIHEM's solutions cater to various stages of company growth, offering scalable services from startups to established enterprises. It was founded in 2023 and is based in San Francisco, California.",Generative AI infrastructure,Convertible Note,2024/01/19,0.5,Y Combinator,,0.5,,,,420,2024/02/08,United States,LLMOps,,,,
Reducto AI,reducto.ai,"Reducto AI focuses on data ingestion for large language models (LLMs) within the artificial intelligence (AI) sector. The company offers services that parse complex documents and optimally chunk content to improve retrieval augmented generation (RAG) performance with any vector database. It was founded in 2023 and is based in San Francisco, California.",Generative AI infrastructure,Convertible Note,2024/01/19,0.5,Y Combinator,,0.5,,,,530,2024/02/08,United States,LLMOps,,,,
Glaive,glaive.ai,"Glaive specializes in the development of language models for various sectors, focusing on creating models that are efficient and tailored to specific use cases. The company offers language models that are trained on synthetic data and designed to be faster, more cost-effective, and capable of running on consumer hardware compared to general-purpose language model APIs. Its models prioritize data privacy, allowing clients to run them on their own cloud infrastructure without the need to send data externally. It was founded in 2023 and is based in San Francisco, California.",Generative AI infrastructure,Seed VC,2023/08/08,3.5,"Amjad Masad, Spark Capital, Village Global",,3.5,,,,580,2024/02/13,United States,LLMOps,,,,
Arcee,arcee.ai,"Arcee specializes in the development of small language models (SLMs) within the artificial intelligence sector. The company offers an SLM adaptation system that enables the training, deployment, and continuous improvement of language models securely within a client's own virtual private cloud (VPC) environment. Arcee's system is designed to cater to various sectors, including legal, healthcare, finance, and insurance. It was founded in 2023 and is based in Miami, Florida.",Generative AI infrastructure,Seed VC - II,2024/01/24,0.13,"Long Journey Ventures, 35V, AIN VENTURES, Bill Campbell, Brad Dwyer, Cailen DSac, Centre Street Partners, Clement Delangue, Flybridge Capital Partners, Georges Harik, James Hong, John J. Villa, Joseph Nelson, Mario Gotze, Milos Rusic, Scott Banister, Stephen Garden, Vipul Ved Prakash, WndrCo",15,,,,,440,2024/02/16,United States,LLMOps,,,,
Martian,withmartian.com,"Martian focuses on artificial intelligence's (AI) safety and efficiency. It offers solutions that allow for the inspection of AI models, aiming to make them safer, more effective, and less costly. The company primarily serves the artificial intelligence industry. It was founded in 2022 and is based in San Francisco, California.",Generative AI infrastructure,Seed VC,2023/11/16,9,"Carya Venture Partners, General Catalyst, New Enterprise Associates, Prosus Ventures",,9,,,,720,2024/02/20,United States,LLMOps,,,,
Cleanlab,cleanlab.ai,"Cleanlab specializes in data-centric artificial intelligence and offers a suite of software solutions designed to improve data quality and machine learning model reliability. The company's main offerings include automated data curation, machine learning model training, and model deployment, all provided through a no-code platform. Cleanlab's software is utilized across various sectors such as financial services, healthcare, e-commerce, and more. It was founded in 2021 and is based in San Francisco, California.",Generative AI infrastructure,Incubator/Accelerator,2023/10/16,30,"AME Cloud Ventures, Avid Duggan, Bain Capital Ventures, Chuck Dietrich, Essence VC Fund, Freddy Kerrest, Kearny Jackson, Naveen Rao, Avid Larizadeh Duggan, Databricks Ventures, Lane VC, Menlo Ventures, Preston-Werner Ventures, TQ Ventures, Comcast NBCUniversal LIFT Labs Generative AI Accelerator",100,,,,,780,2024/02/20,United States,LLMOps,,,,
Automorphic,automorphic.ai,"Automorphic is a language model. It infuses knowledge into large language models (LLMs) via fine-tuning (surpassing context window limitations), enabling developers to rapidly iterate on and improve custom models. It was founded in 2023 and is based in San Francisco, California.",Generative AI infrastructure,Seed VC,2023/08/01,0.5,"Y Combinator, Liquid 2 Ventures, Paul Graham, Quarry Ventures, SV Angel",,,,,,470,2024/02/21,United States,LLMOps,,,,
Taylor AI,trytaylor.ai,"Taylor AI specializes in text classification technology within the artificial intelligence domain. The company offers an application programming interface (API) that enables categorization of various types of text data, such as customer feedback, support tickets, and news articles. Its primary customers are businesses that require real-time text analysis and classification across multiple sectors. The company was founded in 2023 and is based in San Francisco, California.",Generative AI infrastructure,Convertible Note,2023/01/01,0.5,Y Combinator,,0.5,,,,450,2024/02/21,United States,LLMOps,,,,
Deasie,deasie.com,"Deasie specializes in data governance for language model applications within the artificial intelligence and data governance domains. The company offers a platform that structures, labels, and ensures the safety and quality of data used in language models. It primarily serves sectors that require the integration of language models into their technology stack. The company was founded in 2023 and is based in Dover, Delaware.",Generative AI infrastructure,Seed VC,2023/10/12,3.4,"Y Combinator, General Catalyst, J12 Ventures, RTP Global, Rebel Fund",,2.9,,,,610,2024/02/21,United States,LLMOps,,,,
LlamaIndex,llamaindex.ai,"LlamaIndex offers a data framework for connecting custom data sources to large language models (LLMs). Its data framework connects custom data sources to large language models that connect unstructured, structured, and semi-structured data sources, assisting businesses to build end-user applications. The company was founded in 2023 and is based in San Francisco, California.",Generative AI infrastructure,Seed VC,2023/06/06,8.5,"Greylock Partners, Jack Altman, Joey Gonzalez, Lenny Rachitsky, Mathilde Collin, Raquel Urtasun",37.63,8.5,,,,790,2024/02/21,United States,LLMOps,,,,
Talc,talc.ai,"Talc is an artificial intelligence (AI) company. It provides large language model (LLM) staging environments to help businesses launch AI products. It was founded in 2023 and is based in Seattle, Washington.",Generative AI infrastructure,Seed VC,2023/07/01,0.5,"Y Combinator, Pioneer Fund",,,,,,470,2024/02/21,United States,LLMOps,,,,
FiddleCube,fiddlecube.ai,"FiddleCube generates datasets for fine-tuning large language models (LLMs.) It creates specific tasks or gives them a personalized voice. The company was founded in 2022 and is based in San Francisco, California.",Generative AI infrastructure,Convertible Note,2023/01/01,0.5,Y Combinator,,0.5,,,,320,2024/02/21,United States,LLMOps,,,,
Patronus AI,patronus.ai,"Patronus AI specializes in automated AI evaluation and security within the artificial intelligence industry. The company offers a platform that scores Large Language Model (LLM) performance, generates adversarial test cases, benchmarks LLMs, and conducts retrieval-augmented generation analysis to ensure reliable AI model outputs. Patronus AI primarily serves enterprise development teams looking to deploy AI products with a degree of confidence and security. It was founded in 2023 and is based in New York, New York.",Generative AI infrastructure,Series A,2024/05/22,20,"Amjad Masad, Factorial Capital, Gokul Rajaram, Lightspeed Venture Partners, Datadog, Notable Capital",,17,,,,790,2024/02/21,United States,LLMOps,,,,
DeepInfra,deepinfra.com,"DeepInfra provides a large language model (LLM) solution that offers a platform where users deploy machine learning models into scalable APIs, with features such as low latency, and autoscaling. It was founded in 2022 and is based in Palo Alto, California.",Generative AI infrastructure,Seed VC,2023/11/10,8,"A.Capital, Felicis",,8,,,,640,2024/02/21,United States,LLMOps,,,,
SID,sid.ai,"SID specializes in data integration for artificial intelligence (AI) applications within the technology domain. The company offers a service that allows AI developers to connect and integrate customer data from various sources such as electronic mail, document storage, and communication platforms. It primarily serves sectors that require data integration and management solutions, such as the AI development industry. The company was founded in 2023 and is based in Dover, Delaware.",Generative AI infrastructure,Convertible Note,2023/01/01,0.5,Y Combinator,,0.5,,,,450,2024/02/21,United States,LLMOps,,,,
VectorShift,vectorshift.ai,"VectorShift is an end-to-end artificial intelligence (AI) automation platform in the technology sector. The company offers a framework for building AI search engines, assistants, chatbots, and automation using no-code, low-code, and generative AI solutions. VectorShift primarily serves sectors that require advanced AI application development and deployment capabilities. It was founded in 2023 and is based in San Francisco, California.",Generative AI infrastructure,Seed VC - II,2024/02/21,3.5,"Pioneer Fund, Y Combinator, 1984 Ventures, 468 Capital, Defy Partners, Formus Capital, Pioneer Ventures, Soma Capital",,3,,,,630,2024/02/21,United States,LLMOps,,,,
Unstructured,unstructured.io,"Unstructured specializes in data extraction and transformation, focusing on the technology sector. The company provides services that capture unstructured data from various documents and convert it into AI-friendly formats, such as JSON, facilitating the integration with large language models (LLMs). It was founded in 2022 and is based in Rocklin, California.",Generative AI infrastructure,Series B,2024/03/14,65,"Essence VC Fund, Bain Capital Ventures, Bob van Luijt, Harrison Chase, Josh Lefkowitz, M12, Madrona Venture Group, Mango Capital, MongoDB Ventures, Shield Capital, Allison Pickens, Chet Kapoor, Databricks Ventures, IBM Ventures, Menlo Ventures, NVentures, Vivek Ranadive",230,40,,,,800,2024/02/21,United States,LLMOps,,,,
Chatter,trychatter.ai,"Chatter develops a large language model (LLM) model testing platform. Its platform helps companies and developers test their LLM models Iterate on prompts, run them across model families, and evaluate them against test cases. It was founded in 2023 and is based in San Francisco, California.",Generative AI infrastructure,Convertible Note,2023/01/01,0.5,Y Combinator,,0.5,,,,360,2024/02/21,United States,LLMOps,,,,
TextQL,textql.com,"TextQL offers a platform that aims to simplify the data-to-insight process for organizations. Its platform indexes BI tools and semantic layers, documents data in debt, and uses open AI and language models to provide self-serve power analytics. It was founded in 2022 and is based in New York, New York.",Generative AI infrastructure,Seed VC,2023/12/12,4.1,"Abe Othman, Brian Denker, Chris Prucha, DCM, Dillon Woods, Firsthand Alliance, Indicator Fund, John Jahnke, Jonathan Dawe, Kenn So, Kevin Wang, Leng Lee, Matt Kraning, Neo, Page One Ventures, Spencer Burke, Tristan Handy, Unshackled Ventures, Work Life Ventures",,4.1,,,,640,2024/02/21,United States,LLMOps,,,,
PromptLoop,promptloop.com,"PromptLoop specializes in AI-driven market research tools within the technology sector. The company offers a suite of AI models that facilitate data processing, text analysis, and web research, all integrated into Excel and Google Sheets for ease of use. These tools are designed to enhance productivity by automating tasks such as intelligent tagging, labeling, and content quality analysis for various industries. It was founded in 2022 and is based in San Francisco, California.",Generative AI infrastructure,Convertible Note,2022/01/01,0.5,Y Combinator,,0.5,,,,400,2024/02/21,United States,LLMOps,,,,
Baserun,baserun.ai,"Baserun is a testing platform for large language model (LLM) applications. The platform provides features that help developers to test and deploy their applications. It helps AI teams close the loop from identifying a customer issue to iterating, testing, and evaluating their solution to prevent regressions. It was founded in 2023 and is based in San Francisco, California.",Generative AI infrastructure,Convertible Note,2023/01/01,0.5,Y Combinator,,0.5,,,,450,2024/02/21,United States,LLMOps,,,,
DAGWorks,dagworks.io,"DAGWorks specializes in controlling inefficiencies in the construction and maintenance of data, machine learning, and large language models (LLM) workflows and pipelines. The company's main product is an open-source tool that allows users to express these workflows in Python, providing features such as versioning, lineage, cataloging, and observability. It was founded in 2022 and is based in San Francisco, California.",Generative AI infrastructure,Convertible Note,2023/01/01,0.5,"Firestreak, Y Combinator",,0.5,,,,460,2024/02/21,United States,LLMOps,,,,
Panosight,panosight.ai,"Panosight specializes in machine learning and artificial intelligence (AI). The company offers services enabling clients to train and deploy large language models (LLMs) with an emphasis on data privacy, model ownership, and regulatory compliance. Panosight primarily caters to industries that require secure, scalable, and efficient AI solutions. It was founded in 2023 and is based in San Jose, California.",Generative AI infrastructure,,,,,,,,,,,2024/02/21,United States,LLMOps,,,,
Vecflow,vecflow.ai,"Vecflow focuses on enhancing the performance of large language models (LLMs). The company offers services that connect a company's internal data to their LLM applications using a single API, enabling the creation of contextually aware AI. This process includes constant observability, monitoring, and optimization for the end product. Vecflow was founded in 2023 and is based in New York, New York.",Generative AI infrastructure,,,,Afore Capital,,,,,,,2024/02/21,United States,LLMOps,,,,
Guardrail ML,useguardrail.com,"Guardrail ML is a no-code development platform. The company provides a toolkit that allows the safe and secure deployment of large language models (LLMs) to production. This includes features such as artificial intelligence (AI) safeguards, risk tracking, and integration capabilities. The company primarily serves the artificial intelligence industry. It was founded in 2023 and is based in New York, New York.",Generative AI infrastructure,Pre-Seed,2023/08/07,0.4,Forum Ventures,,0.4,,,,430,2024/02/21,United States,LLMOps,,,,
Confident AI,confident-ai.com,"Confident AI focuses on providing open-source evaluation infrastructure for language model learning (LLMs) in the artificial intelligence industry. The company offers services that allow users to evaluate and benchmark their LLMs, identify bottlenecks in their workflows, and generate expected queries and responses for evaluation. These services cater to the artificial intelligence industry. It was founded in 2023 and is based in San Francisco, California.",Generative AI infrastructure,,,,,,,,,,,2024/02/21,United States,LLMOps,,,,
Hegel AI,hegel-ai.com,"Hegel AI focuses on developing a platform for large language model (LLM) applications in the technology sector. The company offers an open-source platform, PromptTools, which allows teams to develop, monitor, and improve their generative AI applications. Hegel AI primarily serves various industries and companies of different sizes. It was founded in 2023 and is based in New York, New York.",Generative AI infrastructure,Seed VC,2023/09/01,3.4,"Y Combinator, Liquid 2 Ventures, O'Shaughnessy Ventures, Soma Capital",20,2.9,,,,590,2024/02/21,United States,LLMOps,,,,
HydroX AI,hydrox.ai,"HydroX AI is engaged in the development and commercialization of artificial intelligence (AI) assisted safety solutions. It offers large language model (LLM) supported risk assessment services, ethical AI frameworks, cybersecurity solutions, and more. It primarily caters to businesses, government bodies, and cybersecurity and ethical hacking professionals. The company was founded in 2023 and is based in San Francisco, California.",Generative AI infrastructure,Seed VC,2023/11/06,4,"Atom Capital, MiraclePlus, Vitalbridge Capital",,4,,,,640,2024/02/21,United States,LLMOps,,,,
Konko AI,konko.ai,"Konko AI develops a fully managed API designed for security, data privacy, scalability, speed, and cost-efficiency. It offers LLMs that are ready-to-use with a simple and configurable API-based option that runs on world-class infrastructure. It enables developers to easily access, evaluate, choose, fine-tune, and deploy large language models. The company was founded in 2023 and is based in New York, New York.",Generative AI infrastructure,,,,,,,,,,,2024/02/21,United States,LLMOps,,,,
Athina AI,athina.ai,"Athina AI specializes in monitoring and evaluation tools for large language models (LLMs) within the artificial intelligence sector. The company provides services to detect and fix errors such as hallucinations and inaccuracies in LLM outputs and offers insights into usage analytics and performance optimization. Athina AI caters to businesses deploying LLMs in various applications. It was founded in 2022 and is based in San Francisco, California.",Generative AI infrastructure,Convertible Note,2023/01/01,0.5,Y Combinator,,0.5,,,,470,2024/02/21,United States,LLMOps,,,,
Lega,lega.ai,"Lega focuses on Large Language Model (LLM) Governance in the artificial intelligence sector. The company provides a platform that enables law firms and other enterprises to safely explore, assess, and implement generative AI technologies. This includes the ability to build and configure API-driven solutions, ensure secure access across the enterprise, enforce policy adherence, and analyze usage through an audit trail. It was founded in 2023 and is based in Brooklyn, New York.",Generative AI infrastructure,Convertible Note,2023/12/01,0.13,,,0.13,,,,420,2024/02/21,United States,LLMOps,,,,
Kore.ai,kore.ai,"Kore.ai specializes in conversational AI and generative AI technologies within the enterprise software domain. It offers a platform for creating virtual assistants that automate customer and employee interactions across various industries. Its solutions enable businesses for customer service, support HR and IT functions, and provide cognitive search capabilities, all through AI-driven virtual assistants that operate in multiple languages and across different channels. Kore.ai was formerly known as Kore. It was founded in 2013 and is based in Orlando, Florida.",Generative AI infrastructure,Series D,2024/01/30,299.96,"Dallas Venture Capital, Vistara Growth, Paycheck Protection Program, Atos Scaler Accelerator, Beedie Capital Partners, NextEquity, Nicola Wealth, PNC Equity, Sterling National Bank, NVIDIA, FTV Capital, NVentures, Sweetwater Private Equity",174.21,150,,,,860,2024/02/21,United States,LLMOps,,,,
Abacus.AI,abacus.ai,"Abacus.AI helps enterprises make use of artificial intelligence (AI) by empowering developers to build custom models from data sets. It provides deep learning techniques to create custom models or plug-and-play models on its machine learning (ML) infrastructure. It offers AI-assisted data science and end-to-end large language model (LLM) and machine learning operations (MLOps) platform. The company was formerly known as RealityEngines.AI. It was founded in 2019 and is based in San Francisco, California.",Generative AI infrastructure,Series C,2021/10/27,90.25,"SHAKTI, Deepchand Nishar, Don Burnette, Elad Gil, Eric Schmidt, Keval Desai, Khosla Ventures, Paul Buchheit, Ram Shriram, Decibel Partners, Erica Shultz, Jeannette Furstenberg, Jerry Yang, Mariam Naficy, Mike Volpi, Neha Narkhede, Xuezhao Lan, Coatue, Index Ventures, Alkeon Capital Management, Tiger Global Management",323.05,50,,,,680,2024/02/21,United States,LLMOps,,,,
Aible,aible.com,"Aible is a company that focuses on providing enterprise artificial intelligence (AI) solutions. The company offers a range of services including generative AI for enterprise analytics, automated AI-readiness assessment, data exploration with augmented analytics, and optimized recommendations in end-user applications. Aible primarily serves sectors such as healthcare, education, software/technology, food and beverage, construction, distribution, retail, and transportation. It was founded in 2018 and is based in San Mateo, California.",Generative AI infrastructure,Loan,2020/04/14,26.93,"Floodgate, Paycheck Protection Program",,0.52,,,,420,2024/02/21,United States,LLMOps,,,,
Numbers Station,numbersstation.ai,"Numbers Station develops a data stack automation platform built on proprietary foundation model technology. It enables data practitioners to automate workflows. The company offers an enterprise language model that allows users to use natural language to extract value from their data, generate insights and reports, and train private artificial intelligence (AI) models. It primarily serves the data automation sector. It was founded in 2021 and is based in Austin, Texas.",Generative AI infrastructure,Series A,2023/03/20,17.5,"Factory, Firestreak, Jeff Hammerbacher, Madrona Venture Group, Norwest Venture Partners",51.46,12.5,,,,660,2024/02/21,United States,LLMOps,,,,
DataCebo,datacebo.com,"DataCebo specializes in the field of artificial intelligence, with a particular focus on synthetic data generation. The company offers a generative AI platform that enables enterprises to create and manage their own synthetic data applications, which can be used for various purposes such as software testing, simulating scenarios, and machine learning model development. DataCebo primarily serves the enterprise sector, with applications spanning various industries. It was founded in 2020 and is based in Weston, Massachusetts.",Generative AI infrastructure,Seed VC,2023/08/18,11.5,"Link Ventures, Uncorrelated Ventures, Zetta Venture Partners",20.27,8.5,,,,660,2024/02/21,United States,LLMOps,,,,
Watchful,watchful.io,"Watchful is an AI Accelerator specializing in Natural Language Processing (NLP) and Large Language Models (LLMs) within the technology sector. The company offers solutions to develop, fine-tune, and accelerate AI systems with a focus on data-centric workflows and model training processes. Watchful's services are tailored for data scientists, data science managers, and subject matter experts who require efficient and systematic control over their AI model development. It was founded in 2018 and is based in San Francisco, California. In April 2024, Watchful was acquired by Thoughtworks.",Generative AI infrastructure,Debt,2021/09/24,11,"Francis Leung, Greg Martin, Haystack Fund, Quest Venture Partners, Recursive Ventures, Simon Crosby, ff Venture Capital, Foundation Capital, Thoughtworks",9.57,5,Acquired,2024/04/17,Thoughtworks,,2024/02/21,United States,LLMOps,,,,
RagaAI,raga.ai,"RagaAI focuses on the domain of artificial intelligence testing. The company offers a testing platform for AI, designed to detect, diagnose, and fix AI issues, thereby accelerating the readiness of AI for production. It supports a range of AI applications, including Language Learning Models (LLMs), computer vision, and tabular data. It was founded in 2022 and is based in San Ramon, California.",Generative AI infrastructure,Seed VC,2024/01/23,4.7,"Anorak Ventures, Arka Venture Labs, Exfinity Venture Partners, Mana Ventures, TenOneTen Ventures, pi Ventures",,4.7,,,,650,2024/02/21,United States,LLMOps,,,,
dottxt,dottxt.co,"dottxt offers LLMs for machine language. The company was founded in 2023 and is based in Ridgewood, New Jersey.",Generative AI infrastructure,Unattributed,2023/12/22,2.7,,,2.7,,,,600,2024/02/21,United States,LLMOps,,,,
TieSet,tie-set.com,"TieSet is a company focused on artificial intelligence and data processing in the tech industry. It offers two main products: Adaptive Local Language Models (LLM) and a Scalable Traceable Adaptive Distributed Learning platform (STADLE). The Adaptive LLM provides businesses with locally hosted language models for advanced natural language processing, ensuring data security and efficiency. STADLE is an AI platform that addresses data and AI system challenges, harnessing shared user intelligence for privacy-conscious, efficient AI processes. The company primarily serves sectors such as healthcare, robotics, and manufacturing. It is based in Santa Clara, California.",Generative AI infrastructure,Incubator/Accelerator,2022/01/04,,"Newchip, NVIDIA Inception Program",,,,,,340,2024/02/21,United States,LLMOps,,,,
Trustwise,trustwise.ai,"Trustwise develops generative artificial intelligence (GenAI) safety software. Its software is designed to address issues related to large language models (LLMs), such as hallucinations and data commingling, enabling safe and responsible innovation with generative AI. The company primarily serves sectors that utilize generative artificial intelligence (AI), such as healthcare, life sciences, and customer operations. It was founded in 2021 and is based in Austin, Texas.",Generative AI infrastructure,Pre-Seed,2023/08/01,,Firestreak,,,,,,400,2024/02/21,United States,LLMOps,,,,
Monster API,monsterapi.ai,"Monster API provides an ML pipeline platform that accesses the unused computing power of decentralized crypto and gaming computers worldwide, to optimize them for machine learning and deliver a scalable, globally available platform for generative AI. The company was founded in 2023 and is based in San Francisco, California.",Generative AI infrastructure,Pre-Seed,2023/06/08,1.1,"Carya Venture Partners, Rebright Partners",,1.1,,,,560,2024/02/21,United States,LLMOps,,,,
Carbon,carbon.ai,"Carbon focuses on data connectivity for LLMs in the tech industry. It provides a retrieval engine that allows LLMs to access unstructured data from any source. The company primarily sells to sectors that require data retrieval and management, such as the AI and cloud computing industries. It was founded in 2022 and is based in Seattle, Washington.",Generative AI infrastructure,Seed VC,2023/12/08,1.3,"MKT1, Treble Capital",,1.3,,,,560,2024/02/21,United States,LLMOps,,,,
OpenPipe,openpipe.ai,"OpenPipe specializes in fine-tuning services for developers within the artificial intelligence domain. The company offers a platform for training, deploying, and managing fine-tuned machine learning models. It primarily serves the technology and software development industries with its machine learning optimization tools. The company was founded in 2023 and is based in San Francisco, California.",Generative AI infrastructure,Seed VC - II,2024/03/26,7.2,"LombardStreet, Y Combinator, Pioneer Fund, Alex Graveley, Costanoa Ventures, Logan Kilpatrick, Tom Preston-Werner",,6.7,,,,690,2024/02/21,United States,LLMOps,,,,
Query Vary,queryvary.com,"Query Vary specializes in no-code solutions for building artificial intelligence-powered automations within various business domains. The company provides a platform that enables non-technical users to create and manage micro-workflows, integrate AI into work optimization tools, and ensure enterprise-level security for data. Its services are primarily utilized by sectors that require AI-driven automation, such as human resources, sales, supply chain, and inspection. The company was founded in 2023 and is based in San Francisco, California.",Generative AI infrastructure,Incubator/Accelerator,2024/04/04,0.5,"Y Combinator, Plug and Play Silicon Valley summit",,,,,,470,2024/02/21,United States,LLMOps,,,,
Shorthills AI,shorthills.ai,"Shorthills AI focuses on Generative AI and Data Engineering in the technology sector. The company offers a range of services including information retrieval, sentiment analysis, chatbot solutions, text generation, and reasoning solutions, all aimed at improving efficiency and decision-making processes. Shorthills AI primarily serves the enterprise sector. It was founded in 2018 and is based in Short Hills, New Jersey.",Generative AI infrastructure,Incubator/Accelerator - II,2023/11/17,,"NASSCOM Gen AI Foundry Programme, NVIDIA Inception Program",,,,,,430,2024/02/22,United States,LLMOps,,,,
GradientJ,gradientj.com,"GradientJ specializes in providing a platform and services for building large language model (LLM) native applications within the artificial intelligence sector. The company offers a development platform that enables the orchestration of multiple models and integrations, as well as a solutions service to assist teams in creating their first LLM applications. GradientJ primarily caters to teams involved in the ideation, construction, and management of innovative LLM applications. It was founded in 2021 and is based in San Francisco, California.",Generative AI infrastructure,Convertible Note,2023/01/01,0.5,Y Combinator,,0.5,,,,460,2024/02/22,United States,LLMOps,,,,
Forefront,forefront.ai,"Forefront operates as an online platform. It offers companies natural language processing, understanding, and generation. It provides fine-tuning, hosting, and inference for various large language models with different levels of performance suitable for different tasks. Forefront was founded in 2021 and is based in New York, New York.",Generative AI infrastructure,Convertible Note,2023/06/23,0.25,AI Grant,,0.25,,,,280,2024/02/22,United States,LLMOps,,,,
